Time (s),Pitot Status Code,Differential Pressure,Temperature,Accel1 x,Accel1 y,Accel1 z,Gyro1 x,Gyro1 y,Gyro1 z,Mag1 x,Mag1 y,Mag1 z,Accel2 x,Accel2 y,Accel2 z,Gyro2 x,Gyro2 y,Gyro2 z,Mag2 x,Mag2 y,Ma2 z,Accel3 x,Accel3 y,Accel3 z,Gyro3 x,Gyro3 y,Gyro3 z,Mag3 x,Mag3 y,Mag3 z
18.0221,Error ,1.25,-50,-1.71777,0.265625,0,304.688,242.188,0,86,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.0271,Error ,1.25,-50,-1.72119,0.268555,0,296.875,257.813,0,86,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.0321,Error ,1.25,-50,-1.72021,0.266602,0,304.688,250,0,88,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.0371,Error ,1.25,-50,-1.72168,0.265137,0,320.313,234.375,0,88,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.0421,Error ,1.25,-50,-1.71973,0.266113,0,320.313,195.313,0,93,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.0471,Error ,1.25,-50,-1.72461,0.264648,0,320.313,226.563,0,93,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.0521,Error ,1.25,-50,-1.7207,0.266602,0,281.25,234.375,0,89,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.0571,Error ,1.25,-50,-1.71875,0.265625,0,335.938,187.5,0,89,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.0621,Error ,1.25,-50,-1.71729,0.267578,0,320.313,203.125,0,-174,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.0671,Error ,1.25,-50,-1.71973,0.268066,0,328.125,218.75,0,-174,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.072,Error ,1.25,-50,-1.7207,0.265625,0,343.75,242.188,0,87,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.077,Error ,1.25,-50,-1.71826,0.266602,0,312.5,234.375,0,87,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.082,Error ,1.25,-50,-1.71826,0.266113,0,328.125,234.375,0,81,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.087,Error ,1.25,-50,-1.7168,0.266602,0,304.688,257.813,0,81,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.092,Error ,1.25,-50,-1.72168,0.26416,0,312.5,218.75,0,82,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.097,Error ,1.25,-50,-1.71875,0.266602,0,304.688,218.75,0,82,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.102,Error ,1.25,-50,-1.71924,0.26416,0,296.875,234.375,0,79,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.107,Error ,1.25,-50,-1.71729,0.266602,0,281.25,234.375,0,79,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.112,Error ,1.25,-50,-1.7168,0.269043,0,281.25,226.563,0,92,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.117,Error ,1.25,-50,-1.7207,0.265625,0,320.313,210.938,0,92,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.122,Error ,1.25,-50,-1.71973,0.267578,0,328.125,218.75,0,85,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.127,Error ,1.25,-50,-1.72266,0.266602,0,304.688,242.188,0,85,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.132,Error ,1.25,-50,-1.71826,0.265625,0,312.5,210.938,0,81,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.137,Error ,1.25,-50,-1.71924,0.267578,0,335.938,218.75,0,81,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.142,Error ,1.25,-50,-1.7207,0.26709,0,312.5,234.375,0,85,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.1475,Error ,1.25,-50,-1.72217,0.265625,0,343.75,234.375,0,85,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.152,Error ,1.25,-50,-1.71973,0.266602,0,320.313,210.938,0,82,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.157,Error ,1.25,-50,-1.72168,0.26416,0,328.125,226.563,0,82,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.162,Error ,1.25,-50,-1.72217,0.264648,0,289.063,203.125,0,96,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.167,Error ,1.25,-50,-1.7168,0.258789,0,304.688,218.75,0,96,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.172,Error ,1.25,-50,-1.7207,0.26416,0,335.938,210.938,0,87,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.177,Error ,1.25,-50,-1.72266,0.267578,0,312.5,226.563,0,87,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
